Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese


frames_ekoSwitchbackBundleDescription,blocks,block,,,A bundle of shapes needed to build Wayward Eko's Switchback base,,,,,,,,,,,,,

frames_ekoSwitchbackDay07Shapes,blocks,block,,,Switchback Day 07 Shapes,,,,,,,,,,,,,
frames_ekoSwitchbackDay14Shapes,blocks,block,,,Switchback Day 14 Shapes,,,,,,,,,,,,,
frames_ekoSwitchbackDay21Shapes,blocks,block,,,Switchback Day 21 Shapes,,,,,,,,,,,,,
frames_ekoSwitchbackDay28Shapes,blocks,block,,,Switchback Day 28 Shapes,,,,,,,,,,,,,


frames_ekoSeekersBaneBundleDescription,blocks,block,,,A bundle of shapes needed to build Wayward Eko's Seeker's Bane base,,,,,,,,,,,,,

frames_ekoSeekersBaneStage1Step1PillarsAndPlatform,blocks,block,,,Seeker's Bane - Stage 1 | Step 1: Pillars and Platform,,,,,,,,,,,,,
frames_ekoSeekersBaneStage1Step2Ramp,blocks,block,,,Seeker's Bane - Stage 1 | Step 2: Ramp,,,,,,,,,,,,,
frames_ekoSeekersBaneStage1Step3FightingPosition,blocks,block,,,Seeker's Bane - Stage 1 | Step 3: Fighting Position,,,,,,,,,,,,,

frames_ekoSeekersBaneStage2Step2PillarsAndPlatform,blocks,block,,,Seeker's Bane - Stage 2 | Step 2: Pillars and Platform,,,,,,,,,,,,,
frames_ekoSeekersBaneStage2Step3SecondRamp,blocks,block,,,Seeker's Bane - Stage 2 | Step 3: 2nd Ramp,,,,,,,,,,,,,
frames_ekoSeekersBaneStage2Step4FightingPosition,blocks,block,,,Seeker's Bane - Stage 2 | Step 4: Fighting Position,,,,,,,,,,,,,
frames_ekoSeekersBaneStage2Step5CenterPillarReinforcement,blocks,block,,,Seeker's Bane - Stage 2 | Step 5: Cental Pillar Reinforcement,,,,,,,,,,,,,
frames_ekoSeekersBaneStage2Step6SideWallsAndRoof,blocks,block,,,Seeker's Bane - Stage 2 | Step 6: Side Walls & Roof,,,,,,,,,,,,,

frames_ekoSeekersBaneStage3Step2RampExpansion,blocks,block,,,Seeker's Bane - Stage 3 | Step 2: Ramp Expansion,,,,,,,,,,,,,
frames_ekoSeekersBaneStage3Step3PillarExpansion,blocks,block,,,Seeker's Bane - Stage 3 | Step 3: Pillar Expansion,,,,,,,,,,,,,
frames_ekoSeekersBaneStage3Step4InteriorAndElectricalAdditions,blocks,block,,,Seeker's Bane - Stage 3 | Step 4: Interior & Electrical Additions,,,,,,,,,,,,,
frames_ekoSeekersBaneStage3Step5RoofAdditions,blocks,block,,,Seeker's Bane - Stage 3 | Step 5: Roof Additions,,,,,,,,,,,,,
